class,sc,omc_sc,cov_gap
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DurationFieldType.html>org.joda.time.DurationFieldType</a>,93.75,41.25,52.5
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/MutableInterval.html>org.joda.time.MutableInterval</a>,97.91667,87.5,10.416672
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ConverterManager.html>org.joda.time.convert.ConverterManager</a>,96.0,71.200005,24.799995
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Minutes.html>org.joda.time.Minutes</a>,100.0,86.36364,13.63636
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicMonthOfYearDateTimeField.html>org.joda.time.chrono.BasicMonthOfYearDateTimeField</a>,89.830505,32.203392,57.627113
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/BasePartial.html>org.joda.time.base.BasePartial</a>,86.36364,56.81818,29.54546
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/AbstractPartial.html>org.joda.time.base.AbstractPartial</a>,100.0,73.417725,26.582275
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateTimeUtils.html>org.joda.time.DateTimeUtils</a>,76.47059,58.823532,17.647057
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/BaseDateTime.html>org.joda.time.base.BaseDateTime</a>,100.0,77.14286,22.85714
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/AbstractDuration.html>org.joda.time.base.AbstractDuration</a>,100.0,87.17949,12.820511
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/AbstractInterval.html>org.joda.time.base.AbstractInterval</a>,100.0,88.0,12.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/LocalTime.html>org.joda.time.LocalTime</a>,94.39655,62.5,31.896553
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Hours.html>org.joda.time.Hours</a>,100.0,81.57895,18.421051
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ReadableInstantConverter.html>org.joda.time.convert.ReadableInstantConverter</a>,100.0,93.75,6.25
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/StringConverter.html>org.joda.time.convert.StringConverter</a>,98.79518,69.87952,28.915665
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/BasePeriod.html>org.joda.time.base.BasePeriod</a>,99.333336,58.0,41.333336
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/DecoratedDurationField.html>org.joda.time.field.DecoratedDurationField</a>,53.333336,33.333336,20.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/AssembledChronology.html>org.joda.time.chrono.AssembledChronology</a>,98.8764,91.57304,7.3033676
